time,xau,paxg
2022-12-29T21:24:12,1816.79,1811.53
2022-12-29T21:24:24,1816.79,1811.53
2022-12-29T21:24:35,1816.79,1811.53
2022-12-29T21:24:46,1817.3,1811.53
2022-12-29T21:24:57,1817.3,1811.53
2022-12-29T21:25:08,1816.79,1811.53
2022-12-29T21:25:19,1817.3,1811.53
2022-12-29T21:25:30,1817.3,1811.53
2022-12-29T21:25:41,1817.3,1811.53
2022-12-29T21:25:52,1817.3,1811.53
2022-12-29T21:26:03,1817.3,1811.53
2022-12-29T21:26:15,1817.3,1811.53
2022-12-29T21:26:26,1817.3,1811.53
2022-12-29T21:26:37,1817.13,1811.53
2022-12-29T21:26:48,1817.13,1811.53
2022-12-29T21:26:59,1817.13,1811.53
2022-12-29T21:27:10,1817.13,1811.53
2022-12-29T21:27:22,1817.13,1811.53
2022-12-29T21:27:33,1817.13,1811.53
2022-12-29T21:27:44,1817.13,1811.53
2022-12-29T21:27:55,1817.13,1811.53
2022-12-29T21:29:23,1817.11,1811.12
2022-12-29T21:29:29,1817.11,1811.12
2022-12-29T21:29:40,1817.13,1811.12
2022-12-29T21:29:51,1817.11,1811.12
2022-12-29T21:30:02,1817.11,1811.12
2022-12-29T21:30:13,1817.13,1811.12
2022-12-29T21:30:24,1817.13,1811.12
2022-12-29T21:30:35,1817.13,1811.12
2022-12-29T21:30:46,1817.13,1811.12
2022-12-29T21:30:58,1817.13,1811.12
2022-12-29T21:31:09,1817.13,1811.12
2022-12-29T21:31:20,1817.13,1811.12
2022-12-29T21:31:32,1817.22,1811.12
2022-12-29T21:31:43,1817.13,1811.12
2022-12-29T21:31:54,1813.89,1811.12
2022-12-29T21:32:05,1817.22,1811.12
2022-12-29T21:32:16,1817.22,1811.12
2022-12-29T21:32:27,1817.22,1811.12
2022-12-29T21:32:38,1817.39,1811.12
2022-12-29T21:32:49,1817.9,1811.12
2022-12-29T21:33:01,1817.39,1811.12
2022-12-29T21:33:12,1817.39,1811.12
2022-12-29T21:33:23,1817.9,1811.12
2022-12-29T21:33:34,1817.9,1811.12
2022-12-29T21:33:45,1817.9,1811.12
2022-12-29T21:33:56,1817.39,1811.12
2022-12-29T21:34:07,1817.9,1811.12
2022-12-29T21:34:18,1818.12,1811.12
2022-12-29T21:34:29,1818.12,1811.12
2022-12-29T21:34:40,1817.9,1811.12
2022-12-29T21:34:51,1817.9,1811.12
2022-12-29T21:35:02,1818.12,1811.12
2022-12-29T21:35:13,1817.95,1811.45
2022-12-29T21:35:25,1818.12,1811.45
2022-12-29T21:35:36,1818.12,1811.45
2022-12-29T21:35:47,1817.95,1811.45
2022-12-29T21:35:59,1817.88,1811.45
2022-12-29T21:36:10,1817.88,1811.45
2022-12-29T21:36:21,1817.95,1811.45
2022-12-29T21:36:32,1817.88,1811.45
2022-12-29T21:36:43,1817.88,1811.45
2022-12-29T21:36:54,1817.88,1811.45
2022-12-29T21:37:05,1817.88,1811.45
2022-12-29T21:37:16,1817.88,1811.45
2022-12-29T21:37:28,1818.23,1811.45
2022-12-29T21:37:39,1817.88,1811.45
2022-12-29T21:37:50,1817.88,1811.45
2022-12-29T21:38:01,1818.23,1811.45
2022-12-29T21:38:12,1818.23,1811.45
2022-12-29T21:38:23,1817.83,1811.45
2022-12-29T21:38:34,1818.23,1811.45
2022-12-29T21:38:45,1818.23,1811.45
2022-12-29T21:38:56,1818.23,1811.45
2022-12-29T21:39:07,1817.83,1811.45
2022-12-29T21:39:19,1817.83,1811.45
2022-12-29T21:39:30,1817.83,1811.45
2022-12-29T21:39:41,1818.08,1811.45
2022-12-29T21:39:52,1818.08,1811.45
2022-12-29T21:40:03,1818.08,1811.33
2022-12-29T21:40:14,1818.08,1811.33
2022-12-29T21:40:25,1818.08,1811.33
2022-12-29T21:40:36,1818.08,1811.33
2022-12-29T21:40:47,1818.03,1811.33
2022-12-29T21:40:59,1818.08,1811.33
2022-12-29T21:41:10,1818.08,1811.33
2022-12-29T21:41:21,1818.03,1811.33
2022-12-29T21:41:32,1818.03,1811.33
2022-12-29T21:41:43,1818.03,1811.33
2022-12-29T21:41:54,1818.03,1811.33
2022-12-29T21:42:05,1818.37,1811.33
2022-12-29T21:42:16,1818.03,1811.33
2022-12-29T21:42:27,1818.37,1811.33
2022-12-29T21:42:38,1818.51,1811.33
2022-12-29T21:42:49,1818.51,1811.33
2022-12-29T21:43:01,1818.51,1810.86
2022-12-29T21:43:12,1818.51,1810.86
2022-12-29T21:43:23,1818.51,1810.86
2022-12-29T21:43:35,1818.51,1810.86
2022-12-29T21:43:46,1818.51,1811.33
2022-12-29T21:43:57,1818.51,1811.33
2022-12-29T21:44:08,1818.7,1810.86
2022-12-29T21:44:19,1818.7,1810.86
2022-12-29T21:44:30,1818.7,1810.86
2022-12-29T21:44:41,1818.7,1810.86
2022-12-29T21:44:52,1818.8,1810.86
2022-12-29T21:45:03,1818.8,1810.86
2022-12-29T21:45:15,1818.8,1810.86
2022-12-29T21:45:26,1818.8,1810.86
2022-12-29T21:45:37,1818.8,1810.86
2022-12-29T21:45:48,1818.8,1810.86
2022-12-29T21:45:59,1818.8,1810.86
2022-12-29T21:46:10,1818.8,1810.86
2022-12-29T21:46:21,1818.8,1810.86
2022-12-29T21:46:33,1818.82,1810.86
2022-12-29T21:47:18,1818.82,1810.86
2022-12-29T21:47:29,1819.08,1810.86
2022-12-29T21:47:40,1818.82,1810.86
2022-12-29T21:52:26,1818.25,1812.48
2022-12-29T21:52:37,1818.22,1812.48
2022-12-29T21:52:55,1818.39,1812.48
2022-12-29T21:53:06,1818.25,1812.48
2022-12-29T21:53:17,1818.25,1812.48
2022-12-29T21:53:28,1818.39,1812.48
2022-12-29T21:53:39,1818.25,1812.48
2022-12-29T21:53:50,1818.39,1812.48
2022-12-29T21:54:01,1818.39,1812.48
2022-12-29T21:54:12,1818.39,1812.48
2022-12-29T21:54:23,1818.59,1812.48
2022-12-29T21:54:35,1818.59,1812.48
2022-12-29T21:54:46,1818.59,1812.48
2022-12-29T21:54:57,1818.59,1812.48
2022-12-29T21:55:09,1818.59,1812.48
2022-12-29T21:55:20,1818.59,1812.48
2022-12-29T21:55:31,1818.59,1812.48
2022-12-29T21:55:42,1818.67,1812.48
2022-12-29T21:55:55,1818.67,1812.48
2022-12-29T21:56:06,1818.54,1812.48
2022-12-29T21:56:17,1818.54,1812.48
2022-12-29T21:57:15,1818.54,1812.48
2022-12-29T21:57:27,1818.54,1812.48
2022-12-29T21:57:38,1818.1,1812.48
2022-12-29T21:57:49,1818.1,1812.48
2022-12-29T21:58:00,1818.1,1812.48
2022-12-29T21:58:11,1818.1,1812.48
2022-12-29T21:58:22,1818.1,1812.48
2022-12-29T21:58:33,1818.1,1812.48
2022-12-29T22:01:28,1818.78,1812.38
2022-12-29T22:01:40,1818.78,1812.38
2022-12-29T22:01:51,1818.83,1812.38
2022-12-29T22:02:02,1818.98,1812.38
2022-12-29T22:02:13,1818.98,1812.38
2022-12-29T22:02:24,1818.83,1812.38
2022-12-29T22:02:35,1818.83,1812.38
2022-12-29T22:02:46,1818.98,1812.38
2022-12-29T22:02:58,1818.98,1812.38
2022-12-29T22:03:09,1818.89,1812.38
2022-12-29T22:03:20,1818.98,1812.38
2022-12-29T22:03:32,1818.89,1812.38
2022-12-29T22:03:43,1818.89,1812.38
2022-12-29T22:03:54,1818.89,1812.38
2022-12-29T22:04:06,1818.89,1812.38
2022-12-29T22:04:17,1818.89,1812.38
2022-12-29T22:04:28,1818.89,1812.38
2022-12-29T22:04:39,1818.89,1812.38
2022-12-29T22:04:50,1818.89,1812.38
2022-12-29T22:05:01,1818.89,1812.38
2022-12-29T22:05:12,1818.36,1812.38
2022-12-29T22:05:23,1818.36,1812.38
2022-12-29T22:06:08,1818.36,1812.56
